time,PWM1,PWM2,PWM Efforts,Joint Angle Current 1,Joint Angle Current 2,Joint Angle Desired 1,Joint Angle Desired 2
3.903180144,0,0,0.0,0,0,0,0
3.913286712,0,0,0.0,0,0,0,0
3.923267341,0,0,0.0,0,0,0,0
3.933260159,0,0,0.0,0,0,0,0
3.943081081,0,0,0.0,0,0,0,0
3.953283628,0,0,0.0,0,0,0,0
3.963373598,0,0,0.0,0,0,0,0
3.97306409,0,0,0.0,0,0,0,0
3.983210089,0,0,0.0,0,0,0,0
3.99321832,0,0,0.0,0,0,0,0
4.003298548,0,0,0.0,0,0,0,0
4.013269281,0,0,0.0,0,0,0,0
4.023569745,0,0,0.0,0,0,0,0
4.033388551,0,0,0.0,0,0,0,0
4.043234397,0,0,0.0,0,0,0,0
4.053125976,0,0,0.0,0,0,0,0
4.0631786,0,0,0.0,0,0,0,0
4.073151534,0,0,0.0,0,0,0,0
4.083249881,0,0,0.0,0,0,0,0
4.093337484,0,0,0.0,0,0,0,0
4.103149574,0,0,0.0,0,0,0,0
4.113322876,0,0,0.0,0,0,0,0
4.123571522,0,0,0.0,0,0,0,0
4.133253125,0,0,0.0,0,0,0,0
4.143353394,0,0,0.0,0,0,0,0
4.153119052,0,0,0.0,0,0,0,0
4.163122617,0,0,0.0,0,0,0,0
4.173298785,0,0,0.0,0,0,0,0
4.183306254,0,0,0.0,0,0,0,0
4.193373881,0,0,0.0,0,0,0,0
4.203190083,0,0,0.0,0,0,0,0
4.213283091,0,0,0.0,0,0,0,0
4.223482925,0,0,0.0,0,0,0,0
4.233407106,0,0,0.0,0,0,0,0
4.24507144,0,0,0.0,0,0,0,0
4.253571717,0,0,0.0,0,0,0,0
4.263340666,0,0,0.0,0,0,0,0
4.273432061,0,0,0.0,0,0,0,0
4.283438387,0,0,0.0,0,0,0,0
4.293667194,0,0,0.0,0,0,0,0
4.303339193,0,0,0.0,0,0,0,0
4.313137036,0,0,0.0,0,0,0,0
4.323209101,0,0,0.0,0,0,0,0
4.33358692,0,0,0.0,0,0,0,0
4.343292427,0,0,0.0,0,0,0,0
4.353318122,0,0,0.0,0,0,0,0
4.363210235,0,0,0.0,0,0,0,0
4.373131524,0,0,0.0,0,0,0,0
4.383309326,0,0,0.0,0,0,0,0
4.393275959,0,0,0.0,0,0,0,0
4.40329057,0,0,0.0,0,0,0,0
4.413123882,0,0,0.0,0,0,0,0
4.423331687,0,0,0.0,0,0,0,0
4.43314933,0,0,0.0,0,0,0,0
4.443304107,0,0,0.0,0,0,0,0
4.453200987,0,0,0.0,0,0,0,0
4.463335625,0,0,0.0,0,0,0,0
4.473304056,0,0,0.0,0,0,0,0
4.483304546,0,0,0.0,0,0,0,0
4.493318177,0,0,0.0,0,0,0,0
4.503152343,0,0,0.0,0,0,0,0
4.513286252,0,0,0.0,0,0,0,0
4.523175518,0,0,0.0,0,0,0,0
4.533022689,0,0,0.0,0,0,0,0
4.543124981,0,0,0.0,0,0,0,0
4.553162514,0,0,0.0,0,0,0,0
4.563399897,0,0,0.0,0,0,0,0
4.573156268,0,0,0.0,0,0,0,0
4.583224036,0,0,0.0,0,0,0,0
4.593062998,0,0,0.0,0,0,0,0
4.603280927,0,0,0.0,0,0,0,0
4.613217874,0,0,0.0,0,0,0,0
4.623300016,0,0,0.0,0,0,0,0
4.633179185,0,0,0.0,0,0,0,0
4.643158202,0,0,0.0,0,0,0,0
4.653572363,0,0,0.0,0,0,0,0
4.663421776,0,0,0.0,0,0,0,0
4.673090284,0,0,0.0,0,0,0,0
4.68320321,0,0,0.0,0,0,0,0
4.693329021,0,0,0.0,0,0,0,0
4.703309113,0,0,0.0,0,0,0,0
4.713122458,0,0,0.0,0,0,0,0
4.723306654,0,0,0.0,0,0,0,0
4.733446481,0,0,0.0,0,0,0,0
4.743190884,0,0,0.0,0,0,0,0
4.753522003,0,0,0.0,0,0,0,0
4.763102648,0,0,0.0,0,0,0,0
4.773256036,0,0,0.0,0,0,0,0
4.783036174,0,0,0.0,0,0,0,0
4.793276492,0,0,0.0,0,0,0,0
4.80330757,0,0,0.0,0,0,0,0
4.813265427,0,0,0.0,0,0,0,0
4.823095123,0,0,0.0,0,0,0,0
4.833314365,0,0,0.0,0,0,0,0
4.843223928,0,0,0.0,0,0,0,0
4.853254579,0,0,0.0,0,0,0,0
4.863169542,0,0,0.0,0,0,0,0
4.873325693,0,0,0.0,0,0,0,0
4.883732049,0,0,0.0,0,0,0,0
4.893026582,0,0,0.0,0,0,0,0
4.903308232,0,0,0.0,0,0,0,0
4.913248143,0,0,0.0,0,0,0,0
4.923350209,0,0,0.0,0,0,0,0
4.93341617,0,0,0.0,0,0,0,0
4.943237646,0,0,0.0,0,0,0,0
4.953313194,0,0,0.0,0,0,0,0
4.963160974,0,0,0.0,0,0,0,0
4.973374082,0,0,0.0,0,0,0,0
4.983358499,0,0,0.0,0,0,0,0
4.993172209,0,0,0.0,0,0,0,0
5.003025344,0,0,0.0,0,0,0,0
5.013300991,0,0,0.0,0,0,0,0
5.023252853,0,0,0.0,0,0,0,0
5.033291148,0,0,0.0,0,0,0,0
5.043287756,0,0,0.0,0,0,0,0
5.053226679,0,0,0.0,0,0,0,0
5.063189337,0,0,0.0,0,0,0,0
5.073330166,0,0,0.0,0,0,0,0
5.083258449,0,0,0.0,0,0,0,0
5.093224937,0,0,0.0,0,0,0,0
5.103211842,0,0,0.0,0,0,0,0
5.113294195,0,0,0.0,0,0,0,0
5.123388128,0,0,0.0,0,0,0,0
5.13310632,0,0,0.0,0,0,0,0
5.143364867,0,0,0.0,0,0,0,0
5.153303227,0,0,0.0,0,0,0,0
5.16330257,0,0,0.0,0,0,0,0
5.173324089,0,0,0.0,0,0,0,0
5.183172677,0,0,0.0,0,0,0,0
5.193180462,0,0,0.0,0,0,0,0
5.203435498,0,0,0.0,0,0,0,0
5.213120975,0,0,0.0,0,0,0,0
5.223274966,0,0,0.0,0,0,0,0
5.233445787,0,0,0.0,0,0,0,0
5.243151564,0,0,0.0,0,0,0,0
5.253193783,0,0,0.0,0,0,0,0
5.263215146,0,0,0.0,0,0,0,0
5.273156715,0,0,0.0,0,0,0,0
5.283060239,0,0,0.0,0,0,0,0
5.293176459,0,0,0.0,0,0,0,0
5.303198686,0,0,0.0,0,0,0,0
5.313227963,0,0,0.0,0,0,0,0
5.32327364,0,0,0.0,0,0,0,0
5.333184341,0,0,0.0,0,0,0,0
5.34340387,0,0,0.0,0,0,0,0
5.353235029,0,0,0.0,0,0,0,0
5.363274532,0,0,0.0,0,0,0,0
5.373348976,0,0,0.0,0,0,0,0
5.383268029,0,0,0.0,0,0,0,0
5.393278331,0,0,0.0,0,0,0,0
5.403420227,0,0,0.0,0,0,0,0
5.413287089,0,0,0.0,0,0,0,0
5.423594382,0,0,0.0,0,0,0,0
5.433221965,0,0,0.0,0,0,0,0
5.443239786,0,0,0.0,0,0,0,0
5.453323542,0,0,0.0,0,0,0,0
5.463226927,0,0,0.0,0,0,0,0
5.473126327,0,0,0.0,0,0,0,0
5.483134082,0,0,0.0,0,0,0,0
5.493385194,0,0,0.0,0,0,0,0
5.503446335,0,0,0.0,0,0,0,0
5.513397636,0,0,0.0,0,0,0,0
5.523426725,0,0,0.0,0,0,0,0
5.533317298,0,0,0.0,0,0,0,0
5.543166035,0,0,0.0,0,0,0,0
5.553210822,0,0,0.0,0,0,0,0
5.563232858,0,0,0.0,0,0,0,0
5.573272842,0,0,0.0,0,0,0,0
5.583412954,0,0,0.0,0,0,0,0
5.593441387,0,0,0.0,0,0,0,0
5.603226497,0,0,0.0,0,0,0,0
5.613065973,0,0,0.0,0,0,0,0
5.623343462,0,0,0.0,0,0,0,0
5.633226131,0,0,0.0,0,0,0,0
5.64339294,0,0,0.0,0,0,0,0
5.653101669,0,0,0.0,0,0,0,0
5.663101299,0,0,0.0,0,0,0,0
5.673157251,0,0,0.0,0,0,0,0
5.683205468,0,0,0.0,0,0,0,0
5.69305651,0,0,0.0,0,0,0,0
5.703116309,0,0,0.0,0,0,0,0
5.713251006,0,0,0.0,0,0,0,0
5.723112319,0,0,0.0,0,0,0,0
5.733170381,0,0,0.0,0,0,0,0
5.743172165,0,0,0.0,0,0,0,0
5.753260672,0,0,0.0,0,0,0,0
5.763300225,0,0,0.0,0,0,0,0
5.773412664,0,0,0.0,0,0,0,0
5.783302789,0,0,0.0,0,0,0,0
5.793473448,0,0,0.0,0,0,0,0
5.803353496,0,0,0.0,0,0,0,0
5.813214476,0,0,0.0,0,0,0,0
5.823134768,0,0,0.0,0,0,0,0
5.833436874,0,0,0.0,0,0,0,0
5.843440193,0,0,0.0,0,0,0,0
5.853305865,0,0,0.0,0,0,0,0
5.863156929,0,0,0.0,0,0,0,0
5.873354422,0,0,0.0,0,0,0,0
5.883300438,0,0,0.0,0,0,0,0
5.893125532,0,0,0.0,0,0,0,0
5.903211777,0,0,0.0,0,0,0,0
5.913162066,0,0,0.0,0,0,0,0
5.923593018,0,0,0.0,0,0,0,0
5.93327344,0,0,0.0,0,0,0,0
5.943219627,0,0,0.0,0,0,0,0
5.953222565,0,0,0.0,0,0,0,0
5.963209749,0,0,0.0,0,0,0,0
5.973144574,0,0,0.0,0,0,0,0
5.983601575,0,0,0.0,0,0,0,0
5.993271734,0,0,0.0,0,0,0,0
6.003239314,0,0,0.0,0,0,0,0
6.013246438,0,0,0.0,0,0,0,0
6.023186496,0,0,0.0,0,0,0,0
6.033420571,0,0,0.0,0,0,0,0
6.043383708,0,0,0.0,0,0,0,0
6.053295382,0,0,0.0,0,0,0,0
6.063309809,0,0,0.0,0,0,0,0
6.073288351,0,0,0.0,0,0,0,0
6.084247279,0,0,0.0,0,0,0,0
6.094028293,0,0,0.0,0,0,0,0
6.103213986,0,0,0.0,0,0,0,0
6.113972268,0,0,0.0,0,0,0,0
6.123346793,0,0,0.0,0,0,0,0
6.133291926,0,0,0.0,0,0,0,0
